member,attribute,bypassInlet,engine,farfield,inlet,nozzle,outlet,turbine
1,T,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,U,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,P,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,k,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,rho,,,,,,,
2,T,,,,,,,
2,U,,,,,,,
2,P,,,,,,,
2,k,,,,,,,
2,rho,,,,,,,
3,T,,,,,,,
3,U,,,,,,,
3,P,,,,,,,
3,k,,,,,,,
3,rho,,,,,,,
4,T,totalTemperature,zeroGradient,zeroGradient,inletOutlet,zeroGradient,zeroGradient,totalTemperature
4,U,zeroGradient,noSlip,inletOutlet,freestream,noSlip,inletOutlet,zeroGradient
4,P,totalPressure,zeroGradient,waveTransmissive,freestreamPressure,zeroGradient,waveTransmissive,totalPressure
4,k,turbulentIntensityKineticEnergyInlet,kqRWallFunction,inletOutlet,inletOutlet,kqRWallFunction,inletOutlet,turbulentIntensityKineticEnergyInlet
4,rho,,,,,,,
5,T,,,,,,,
5,U,,,,,,,
5,P,,,,,,,
5,k,,,,,,,
5,rho,,,,,,,
6,T,,,,,,,
6,U,,,,,,,
6,P,,,,,,,
6,k,,,,,,,
6,rho,,,,,,,
7,T,totalTemperature,zeroGradient,zeroGradient,inletOutlet,zeroGradient,zeroGradient,totalTemperature
7,U,zeroGradient,noSlip,inletOutlet,inletOutlet,noSlip,inletOutlet,zeroGradient
7,P,totalPressure,zeroGradient,waveTransmissive,inletOutlet,zeroGradient,waveTransmissive,totalPressure
7,k,turbulentIntensityKineticEnergyInlet,kqRWallFunction,inletOutlet,inletOutlet,kqRWallFunction,inletOutlet,turbulentIntensityKineticEnergyInlet
7,rho,,,,,,,
8,T,totalTemperature,zeroGradient,zeroGradient,inletOutlet,zeroGradient,zeroGradient,totalTemperature
8,U,zeroGradient,noSlip,inletOutlet,inletOutlet,noSlip,inletOutlet,zeroGradient
8,P,totalPressure,zeroGradient,waveTransmissive,inletOutlet,zeroGradient,waveTransmissive,totalPressure
8,k,turbulentIntensityKineticEnergyInlet,kqRWallFunction,inletOutlet,inletOutlet,kqRWallFunction,inletOutlet,turbulentIntensityKineticEnergyInlet
8,rho,,,,,,,
9,T,totalTemperature,zeroGradient,zeroGradient,inletOutlet,zeroGradient,zeroGradient,totalTemperature
9,U,zeroGradient,noSlip,inletOutlet,inletOutlet,noSlip,inletOutlet,zeroGradient
9,P,totalPressure,zeroGradient,waveTransmissive,inletOutlet,zeroGradient,waveTransmissive,totalPressure
9,k,turbulentIntensityKineticEnergyInlet,kqRWallFunction,inletOutlet,inletOutlet,kqRWallFunction,inletOutlet,turbulentIntensityKineticEnergyInlet
9,rho,,,,,,,
10,T,totalTemperature,zeroGradient,zeroGradient,inletOutlet,zeroGradient,zeroGradient,totalTemperature
10,U,zeroGradient,noSlip,inletOutlet,inletOutlet,noSlip,inletOutlet,zeroGradient
10,P,totalPressure,zeroGradient,waveTransmissive,inletOutlet,zeroGradient,waveTransmissive,totalPressure
10,k,turbulentIntensityKineticEnergyInlet,kqRWallFunction,inletOutlet,inletOutlet,kqRWallFunction,inletOutlet,turbulentIntensityKineticEnergyInlet
10,rho,,,,,,,
11,T,totalTemperature,zeroGradient,zeroGradient,inletOutlet,zeroGradient,zeroGradient,totalTemperature
11,U,zeroGradient,noSlip,inletOutlet,inletOutlet,noSlip,inletOutlet,zeroGradient
11,P,totalPressure,zeroGradient,waveTransmissive,inletOutlet,zeroGradient,waveTransmissive,totalPressure
11,k,turbulentIntensityKineticEnergyInlet,kqRWallFunction,inletOutlet,inletOutlet,kqRWallFunction,inletOutlet,turbulentIntensityKineticEnergyInlet
11,rho,,,,,,,
12,T,totalTemperature,zeroGradient,zeroGradient,inletOutlet,zeroGradient,zeroGradient,totalTemperature
12,U,zeroGradient,noSlip,inletOutlet,inletOutlet,noSlip,inletOutlet,zeroGradient
12,P,totalPressure,zeroGradient,waveTransmissive,inletOutlet,zeroGradient,waveTransmissive,totalPressure
12,k,turbulentIntensityKineticEnergyInlet,kqRWallFunction,inletOutlet,inletOutlet,kqRWallFunction,inletOutlet,turbulentIntensityKineticEnergyInlet
12,rho,,,,,,,
